district,price,GrossSquareMeters,NumberFloorsofBuilding,ItemStatus,NumberOfBathrooms,NumberOfRooms,FloorLocation
2,0.3090452261306532,0.14120126448893572,5,0,1,5,32
2,0.41582914572864316,0.1833508956796628,3,0,2,14,51
2,0.9120603015075376,0.13066385669125397,23,0,1,5,16
2,0.1706030150753769,0.09378292939936775,3,0,1,3,40
2,0.27135678391959794,0.14646996838777662,4,0,1,5,12
2,0.18819095477386935,0.07797681770284509,3,0,1,1,50
2,0.2839195979899497,0.13066385669125397,5,0,1,5,32
2,0.22110552763819094,0.08851422550052686,4,0,1,3,0
2,0.43341708542713564,0.10432033719704951,4,0,1,3,32
2,0.20603015075376885,0.08851422550052686,4,0,1,3,50
2,0.685929648241206,0.05690200210748155,33,0,1,0,8
2,0.2839195979899497,0.09378292939936775,3,0,1,3,0
2,0.2399497487437186,0.08324552160168598,3,0,1,3,50
2,0.2711055276381909,0.15700737618545837,4,0,2,5,12
2,0.4309045226130653,0.14646996838777662,5,0,1,5,24
2,0.4974874371859296,0.15700737618545837,4,1,2,6,32
2,0.5100502512562813,0.11485774499473128,8,0,1,5,37
2,0.4974874371859296,0.15700737618545837,8,0,1,5,35
2,0.3065326633165829,0.08324552160168598,7,0,1,3,12
2,0.1871859296482412,0.07797681770284509,4,0,1,1,0
2,0.32788944723618085,0.08324552160168598,8,0,1,3,34
2,0.6984924623115577,0.1886195995785037,4,0,2,7,32
2,0.18341708542713567,0.10432033719704951,4,1,2,5,50
2,0.31783919597989946,0.14646996838777662,3,0,2,6,24
2,0.478643216080402,0.12539515279241306,9,0,1,5,38
2,0.38065326633165825,0.19388830347734456,3,0,1,6,24
2,0.16457286432160803,0.10115911485774498,3,0,1,3,50
2,0.6482412060301507,0.13593256059009484,9,0,2,5,12
2,0.1457286432160804,0.046364594309799785,9,0,1,0,36
2,0.7110552763819095,0.23919915700737618,2,0,1,5,41
2,0.6105527638190954,0.13277133825079032,7,0,1,5,12
2,0.6482412060301507,0.14120126448893572,2,1,2,5,12
2,0.20979899497487436,0.11485774499473128,3,0,1,5,24
